value,depth
1,6
2,5
3,4
4,5
5,6
6,3
7,6
8,5
9,6
10,4
11,6
12,5
13,6
14,2
15,6
16,5
17,6
18,4
19,6
20,5
21,6
22,3
23,6
24,7
25,5
26,6
27,4
28,7
29,6
30,7
31,5
32,6
33,1
34,5
35,4
36,6
37,5
38,3
39,5
40,6
41,4
42,5
43,2
44,6
45,5
46,4
47,5
48,6
49,3
50,5
51,4
52,6
53,5
54,0
55,5
56,6
57,4
58,6
59,5
60,6
61,3
62,6
63,5
64,6
65,7
66,4
67,6
68,5
69,6
70,2
71,6
72,5
73,4
74,6
75,5
76,6
77,3
78,5
79,4
80,5
81,1
82,5
83,4
84,6
85,5
86,6
87,3
88,5
89,4
90,2
91,5
92,4
93,5
94,6
95,3
96,5
97,6
98,4
99,5
100,6
